,date,600519
0,2009-12,-0.023518
1,2010-01,-0.007537
2,2010-02,-0.010087
3,2010-03,-0.04843
4,2010-04,-0.187264
5,2010-05,0.022088
6,2010-06,-0.034274
7,2010-07,0.099059
8,2010-08,0.148266
9,2010-09,0.059662
10,2010-10,-0.033071
11,2010-11,0.255348
12,2010-12,-0.101997
13,2011-01,-0.032242
14,2011-02,0.003877
15,2011-03,0.006548
16,2011-04,0.013678
17,2011-05,0.117876
18,2011-06,0.043327
19,2011-07,0.080937
20,2011-08,0.039092
21,2011-09,-0.112586
22,2011-10,0.071462
23,2011-11,0.028647
24,2011-12,-0.079787
25,2012-01,-0.035644
26,2012-02,0.09683
27,2012-03,-0.036682
28,2012-04,0.14013
29,2012-05,0.053972
30,2012-06,0.010436
31,2012-07,0.046849
32,2012-08,-0.108262
33,2012-09,0.118493
34,2012-10,0.006265
35,2012-11,-0.126668
36,2012-12,-0.03236
37,2013-01,-0.144101
38,2013-02,-0.0218
39,2013-03,-0.035086
40,2013-04,0.03038
41,2013-05,0.132824
42,2013-06,0.007924
43,2013-07,-0.124084
44,2013-08,0.001662
45,2013-09,-0.194573
46,2013-10,-0.006106
47,2013-11,0.046851
48,2013-12,-0.092336
49,2014-01,0.029755
50,2014-02,0.134796
51,2014-03,0.031196
52,2014-04,0.059341
53,2014-05,-0.065048
54,2014-06,0.047802
55,2014-07,0.128821
56,2014-08,-0.012729
57,2014-09,0.024648
58,2014-10,-0.033615
59,2014-11,-0.005361
60,2014-12,0.216761
61,2015-01,-0.065605
62,2015-02,0.078282
63,2015-03,0.0257
64,2015-04,0.28715
65,2015-05,0.04599
66,2015-06,-0.023424
67,2015-07,-0.101588
68,2015-08,-0.055408
69,2015-09,-0.0259
70,2015-10,0.123745
71,2015-11,0.002104
72,2015-12,0.018105
73,2016-01,-0.080389
74,2016-02,0.071069
75,2016-03,0.152296
76,2016-04,0.014376
77,2016-05,0.052826
78,2016-06,0.103792
79,2016-07,0.095858
80,2016-08,-0.009452
81,2016-09,-0.039589
82,2016-10,0.067269
83,2016-11,0.003554
84,2016-12,0.04723
85,2017-01,0.030735
86,2017-02,0.029731
87,2017-03,0.089381
88,2017-04,0.070194
89,2017-05,0.071249
90,2017-06,0.065268
91,2017-07,0.035378
92,2017-08,0.020635
93,2017-09,0.053935
94,2017-10,0.193938
95,2017-11,0.020986
96,2017-12,0.105372
97,2018-01,0.09613
98,2018-02,-0.050906
99,2018-03,-0.057882
100,2018-04,-0.03085
101,2018-05,0.13373
102,2018-06,-0.012337
103,2018-07,-0.006863
104,2018-08,-0.092575
105,2018-09,0.10742
106,2018-10,-0.248082
107,2018-11,0.029331
108,2018-12,0.044265
109,2019-01,0.168794
110,2019-02,0.094852
111,2019-03,0.131098
112,2019-04,0.140529
113,2019-05,-0.086242
114,2019-06,0.121954
115,2019-07,-0.011585
116,2019-08,0.174172
117,2019-09,0.007005
118,2019-10,0.026096
119,2019-11,-0.043228
120,2019-12,0.04783
121,2020-01,-0.110059
122,2020-02,0.003989
123,2020-03,0.051088
124,2020-04,0.139244
125,2020-05,0.079719
126,2020-06,0.082934
127,2020-07,0.147175
128,2020-08,0.064546
129,2020-09,-0.066051
130,2020-10,0.000911
131,2020-11,0.026281
132,2020-12,0.165755
133,2021-01,0.059149
134,2021-02,0.003119
135,2021-03,-0.0536
136,2021-04,-0.001105
137,2021-05,0.105253
138,2021-06,-0.064172
139,2021-07,-0.183649
140,2021-08,-0.072061
141,2021-09,0.174583
142,2021-10,-0.002142
143,2021-11,0.05733
144,2021-12,0.061753
145,2022-01,-0.079512
146,2022-02,-0.051192
147,2022-03,-0.039879
148,2022-04,0.06363
149,2022-05,-0.013318
150,2022-06,0.145587
151,2022-07,-0.071667
152,2022-08,0.013464
153,2022-09,-0.026767
154,2022-10,-0.279039
155,2022-11,-0.0312875347170957
