date, value
2011-01-31,0.26
2011-02-28,0.2605
2011-03-31,0.25217391304347825
2011-04-30,0.21888888888888888
2011-05-31,0.19761904761904764
2011-06-30,0.18999999999999997
2011-07-31,0.19
2011-08-31,0.21363636363636365
2011-09-30,0.2322727272727273
2011-10-31,0.24227272727272728
2011-11-30,0.2559090909090909
2011-12-31,0.2855
2012-01-31,0.2831818181818182
2012-02-29,0.24857142857142855
2012-03-31,0.23999999999999996
2012-04-30,0.24
2012-05-31,0.23999999999999996
2012-06-30,0.24473684210526317
2012-07-31,0.24869565217391304
2012-08-31,0.23727272727272727
2012-09-30,0.2219047619047619
2012-10-31,0.21217391304347827
2012-11-30,0.21
2012-12-31,0.2105
2013-01-31,0.20478260869565218
2013-02-28,0.2
2013-03-31,0.20049999999999998
2013-04-30,0.2
2013-05-31,0.19666666666666666
2013-06-30,0.19142857142857145
2013-07-31,0.19043478260869565
2013-08-31,0.1823809523809524
2013-09-30,0.18
2013-10-31,0.17173913043478262
2013-11-30,0.16904761904761906
2013-12-31,0.1680952380952381
2014-01-31,0.16043478260869565
2014-02-28,0.15428571428571428
2014-03-31,0.15545454545454546
2014-04-30,0.150215
2014-05-31,0.150365
2014-06-30,0.1527318181818182
2014-07-31,0.1544
2014-08-31,0.15602
2014-09-30,0.15410454545454544
2014-10-31,0.15351739130434783
2014-11-30,0.15458571428571427
2014-12-31,0.16306666666666667
2015-01-31,0.1681
2015-02-28,0.17197619047619048
2015-03-31,0.17580434782608695
2015-04-30,0.18079499999999998
2015-05-31,0.18425263157894736
2015-06-30,0.18589545454545453
2015-07-31,0.18816521739130435
2015-08-31,0.1969
2015-09-30,0.20108636363636362
2015-10-31,0.19453636363636362
2015-11-30,0.20846666666666666
2015-12-31,0.35230952380952385
